contig length Sample90 Sample91 Sample92 Sample93 Sample94 Sample95 Sample96 Sample97 Sample98 Sample99 Sample9
k127_58915879_2 1770 0 0 0 1.35474801585299e-07 7.62151972485353e-06 1.35054733808463e-05 4.86437708235257e-06 1.94010375360263e-06 1.50345444970272e-07 8.63912315368311e-06 0
k127_235586593_1 2457 6.57902768257478e-07 1.07015335266968e-06 5.82398632062093e-07 2.37080902774273e-07 0 0 0 0 1.12759083727704e-06 0 5.91499738191778e-07
k127_22422_1 1215 0 2.75182290686489e-07 0 0 0 0 0 0 0 0 1.39176408986301e-07
k127_45832132_2 2313 1.09650461376246e-07 2.75182290686489e-07 7.27998290077616e-08 3.38687003963248e-08 2.23152604556522e-06 0 0 0 2.5057574161712e-08 0 1.39176408986301e-07
k127_26196952_1 3402 0 0 0 5.38512336301564e-06 9.99037045014584e-06 9.20827730512245e-06 1.77494064531643e-05 2.14984469993805e-06 4.61059364575501e-06 6.58218906947285e-06 0
k127_39285786_5 402 0 0 0 1.59182891862726e-06 1.71655849658863e-07 1.15103466314031e-06 1.11397948450822e-06 1.57305709751564e-07 2.35541197120093e-06 1.64554726736821e-06 0
k127_215961743_1 3060 2.92401230336657e-07 1.83454860457659e-07 1.09199743511642e-07 0 0 0 0 0 0 0 1.04382306739725e-07
k127_117817735_1 636 0 0 0 0 0 0 0 0 0 0 6.95882044931503e-08
k127_26199975_3 747 0 0 0 0 3.12413646379131e-06 4.6425064746659e-06 1.37390803089347e-06 1.0487047316771e-06 7.5172722485136e-08 2.26262749263129e-06 0
k127_19656628_1 3474 1.03802436769513e-05 1.67861197318758e-05 2.93019311756241e-05 0 0 0 0 0 0 0 2.36599895276711e-06
k127_26723_2 1638 0 0 0 0.000114306863837596 7.36746906735841e-05 0.000151859839890311 0.000180130482644979 6.52818695468993e-05 0.000112658853431057 5.08576952320988e-05 0
k127_26723_3 837 0 0 0 2.2319473561178e-05 1.79552018743171e-05 4.14756156951557e-05 4.33709345968534e-05 1.75658042555914e-05 2.66612589080616e-05 1.71239762510505e-05 0
k127_6570694_9 20166 7.31003075841642e-08 0 0 0 0 0 0 0 0 0 0
k127_72012641_5 1275 0 0 0 4.06424404755897e-07 3.34728906834783e-05 5.14512494423717e-05 2.68097729271645e-05 9.12373116559074e-06 5.51266631557664e-07 4.94692647252569e-05 0
k127_72012641_6 1098 0 0 0 1.04992971228607e-06 3.43311699317726e-05 5.33696405476055e-05 2.58814566900743e-05 9.2810368753423e-06 1.02736054063019e-06 4.509827979631e-05 0
k127_58923340_2 948 0 0 0 1.65956631941991e-06 0 1.53471288418707e-07 3.71326494836074e-08 1.10113996826095e-06 4.51036334910816e-07 3.59963464736796e-07 0
k127_6571745_1 228 0 9.17274302288297e-08 0 0 1.37324679727091e-06 0 0 0 2.5057574161712e-08 0 6.95882044931503e-08
k127_6571745_26 2067 3.65501537920821e-08 3.36333910839042e-07 0 0 1.02993509795318e-05 0 1.11397948450822e-07 5.24352365838548e-08 1.50345444970272e-07 0 1.04382306739725e-07
k127_91647450_3 2019 0 0 0 0 0 0 0 0 0 0 0
k127_72015476_1 1284 0 0 0 1.04654284224643e-05 2.09420136583813e-05 1.51169219092427e-05 1.75266105562627e-05 5.19108842180163e-06 5.16186027731267e-06 3.59963464736796e-06 0
k127_45840864_3 2073 0 0 0 1.89664722219419e-06 4.29139624147158e-06 3.60657527783962e-06 4.5301832370001e-06 2.09740946335419e-07 8.7701509565992e-06 2.46832090105232e-06 0
k127_229056851_37 1878 0 6.11516201525531e-08 0 5.41899206341196e-07 5.83629888840135e-07 2.72411536943206e-06 2.0051630721148e-06 1.41575138776408e-06 3.53311795680139e-06 6.17080225263079e-07 0
k127_30843_1 4083 0 0 0 6.41473185506391e-05 1.20159094761204e-05 3.79457760615254e-05 2.54358648962711e-05 2.33861155163993e-05 5.93864507632575e-06 6.9935758863149e-06 0
k127_52384049_2 1071 0 0 0 3.2852639384435e-06 8.82311067246557e-05 0.000112839764809855 6.87696668436409e-05 3.61803132428598e-05 1.0524181147919e-06 9.56474349157773e-05 0
k127_52384049_3 1107 0 0 0 1.82890982140154e-06 8.74758209861567e-05 0.00011871004159187 6.89181974415753e-05 2.70565820772691e-05 1.65379989467299e-06 9.82186025210401e-05 0
k127_52384049_4 1884 0 0 0 7.6543262895694e-06 0.000171655849658863 0.000243367095609965 0.000145708516573675 5.68922316934825e-05 3.78369369841851e-06 0.000216698005771551 0
k127_52384049_5 1200 0 0 0 7.31563928560615e-06 8.92610418226089e-05 0.000136819653625278 9.65448886573792e-05 2.83674629918655e-05 1.77908776548155e-06 0.0001261929060663 0
k127_32749461_4 1944 0 0 0 1.01606101188974e-07 0 3.83678221046769e-08 0 0 1.12759083727704e-06 0 0
k127_117831689_4 1548 6.9445292204956e-07 1.5593663138901e-06 6.55198461069855e-07 3.21752653765085e-06 1.61356498679331e-06 3.83678221046769e-07 7.42652989672148e-08 4.24725416329224e-06 6.264393540428e-07 2.05693408421026e-07 5.91499738191778e-07
k127_52385843_1 1188 3.28951384128739e-06 1.9568518448817e-06 2.51159410076778e-06 1.82890982140154e-06 0 7.67356442093537e-08 0 0 7.5172722485136e-06 0 1.28738178312328e-06
k127_45845232_4 450 0 0 0 0 0 0 0 0 0 0 0
k127_19665551_15 1176 0 0 0 1.18540451387137e-06 1.16725977768027e-06 4.22046043151445e-07 2.97061195868859e-07 4.19481892670839e-07 1.0524181147919e-06 2.05693408421026e-07 0
k127_85109797_1 1707 0 0 0 2.81110213289495e-06 0.000103371152664567 0.000168434739039531 8.15432982660018e-05 3.35061161770832e-05 1.60368474634957e-06 0.000147944984006823 0
k127_111292264_1 1263 0 0 0 2.40467772813906e-06 3.21339750561392e-05 2.04500491817928e-05 9.91441741212317e-06 1.52062186093179e-05 4.83611181321042e-06 2.13921144757867e-05 0
k127_78563592_4 2349 0 0 0 2.03212202377949e-07 7.41553270526289e-06 1.05127832566815e-05 3.82466289681156e-06 6.81658075590113e-07 1.75403019131984e-07 4.37098492894681e-06 0
k127_72020435_3 816 0 0 0 0 0 0 0 5.24352365838548e-08 5.0115148323424e-08 0 0
k127_13122755_10 2487 0 0 0 6.26570957332008e-06 7.20954568567225e-07 6.56089757989974e-06 9.28316237090185e-07 1.73036280726721e-06 2.0797786554221e-06 2.77686101368386e-06 0
k127_32753498_3 2400 1.49855630547537e-06 1.40648726350872e-06 1.27399700763583e-06 1.33103992557556e-05 2.5061754050194e-06 3.83678221046769e-07 4.08459144319681e-07 1.83523328043492e-06 1.10253326311533e-06 3.0854011263154e-07 1.35696998761643e-06
k127_104747641_1 1152 1.64475692064369e-06 1.86512441465287e-06 1.60159623817076e-06 4.0981127479553e-06 8.6514548228067e-06 1.61144852839643e-06 6.68387690704933e-07 8.59937879975219e-06 6.31450868875143e-06 9.77043689999875e-07 2.99229279320546e-06
k127_202900942_27 1581 0 0 0 2.84497083329128e-06 0 4.60413865256122e-07 1.11397948450822e-07 1.41575138776408e-06 8.51957521498208e-07 4.11386816842053e-07 0
k127_6582327_1 1875 0 0 0 1.69343501981624e-07 3.43311699317726e-08 5.37149509465476e-07 4.45591793803289e-07 2.62176182919274e-07 5.0115148323424e-07 4.62810168947309e-07 0
k127_248698167_1 1053 0 0 0 1.74085120037109e-05 1.99807409002917e-05 1.90688075860244e-05 5.48449232872881e-05 1.88766851701877e-05 2.59095316832102e-05 2.08778809547342e-05 0
k127_39305090_4 621 0 0 0 0 4.80636379044817e-07 3.83678221046769e-07 3.71326494836074e-08 1.0487047316771e-07 0 1.5427005631577e-07 0
k127_19671359_2 3237 0 3.05758100762766e-07 2.91199316031047e-07 0 0 0 0 0 0 0 6.95882044931503e-08
k127_26216389_11 1710 0 0 0 1.49022281743829e-06 1.37324679727091e-06 2.22533368207126e-06 4.34451998958206e-06 1.94010375360263e-06 2.65610286114147e-06 4.62810168947309e-07 0
k127_124386169_1 813 1.92619310484273e-05 1.21080207902055e-05 2.75911351939417e-05 6.4350530753017e-07 8.0334937640348e-06 3.37636834521156e-06 4.08459144319681e-06 2.12887060530451e-05 1.92442169561948e-05 0.000252180118724178 6.42995009516709e-05
k127_13128140_1 756 3.65501537920821e-08 1.52879050381383e-07 1.09199743511642e-07 0 0 0 0 0 5.0115148323424e-08 0 2.08764613479451e-07
k127_104752561_1 399 0 0 0 7.1124270832282e-07 1.37324679727091e-07 2.30206932628061e-07 8.16918288639362e-07 1.57305709751564e-07 6.51496928204512e-07 1.5427005631577e-07 0
k127_104752561_2 714 0 0 0 2.33694032734641e-06 1.68222732665686e-06 1.72655199471046e-06 3.0077446081722e-06 3.14611419503129e-07 3.53311795680139e-06 7.19926929473592e-07 0
k127_85117070_20 507 0 0 0 3.72555704359572e-07 1.23592211754381e-05 2.08337274028395e-05 1.05456724533445e-05 3.250984668199e-06 2.75633315778832e-07 1.75353630678925e-05 0
k127_85117070_21 1866 0 0 0 3.38687003963248e-07 4.74800080156416e-05 7.45486783493871e-05 3.72440474320582e-05 1.34758558020507e-05 1.07747568895362e-06 6.62332775115705e-05 0
k127_85117070_24 1095 0 0 0 3.38687003963248e-07 2.69842995663733e-05 4.04780523204341e-05 2.69954361745826e-05 6.501969336398e-06 7.5172722485136e-07 3.5070726135785e-05 0
k127_98207950_2 483 0 0 0 3.72555704359572e-07 1.98434162205646e-05 9.09317383880842e-06 5.08717297925421e-06 2.56932659260889e-06 1.2528787080856e-07 8.58769980157785e-06 0
k127_98207950_3 1005 0 0 0 3.04818303566923e-07 3.45028257814315e-05 1.33520020924275e-05 5.82982596892636e-06 2.88393801211202e-06 3.7586361242568e-07 1.5427005631577e-05 0
k127_104753324_6 1653 0 2.44606480610212e-07 7.27998290077616e-08 1.01606101188974e-07 1.37324679727091e-06 6.1388515367483e-07 0 8.91399021925532e-07 2.5057574161712e-08 0 0
k127_72027223_2 1137 0 0 0 5.08030505944871e-07 2.5061754050194e-05 3.99409028109686e-05 1.89376512366398e-05 8.28476738024906e-06 3.50806038263968e-07 3.66134266989427e-05 0
k127_52395880_8 3843 0 0 0 9.48323611097093e-07 2.7327611265691e-05 4.4046259776169e-05 2.57329260921399e-05 1.16930577581996e-05 6.76554502366224e-07 2.38090120247338e-05 0
k127_111300445_3 177 0 3.05758100762766e-08 0 0 0 0 0 0 0 0 0
k127_124387813_1 1599 0 0 0 1.37845610613042e-05 3.43311699317726e-06 8.24908175250552e-06 3.11914255662302e-06 4.71917129254693e-06 5.06162998066583e-06 3.59963464736796e-07 0
k127_235617893_1 924 0 0 0 1.86616539183749e-05 1.23248900055064e-05 1.5078554087138e-05 6.47593406994113e-05 4.4045598730438e-06 3.13720828504634e-05 1.09017506463144e-05 0
k127_170194635_2 753 1.46200615168328e-07 6.11516201525531e-08 2.18399487023285e-07 3.38687003963248e-08 9.61272758089634e-07 2.68574754732738e-07 0 8.91399021925532e-07 1.2528787080856e-07 5.14233521052566e-07 5.21911533698627e-07
k127_26218748_2 663 0 0 0 1.60876326882543e-05 2.74306047754863e-05 2.53611304111914e-05 0.000111843540244625 4.77160652913079e-06 6.11404809545773e-05 5.55372202736771e-06 0
k127_255227151_2 3228 0 0 0 2.20146552576111e-06 3.39878582324549e-06 3.83678221046769e-07 4.45591793803289e-07 3.77533703403755e-06 1.35310900473245e-06 1.02846704210513e-07 0
k127_235620599_2 2358 5.33632245364399e-06 1.17411110692902e-05 8.29918050688483e-06 3.00754059519364e-05 2.77395853048723e-05 1.94908536291758e-05 1.93089777314758e-06 2.46969964309956e-05 1.76405322098453e-05 2.26262749263129e-06 1.30129942402191e-05
k127_98211567_3 1647 0 0 0 6.77374007926495e-08 1.71655849658863e-07 3.06942576837415e-07 2.22795896901644e-07 5.29595889496934e-06 3.00690889940544e-07 0 0
k127_78574304_4 660 0 0 0 6.77374007926495e-08 0 0 1.4853059793443e-07 0 1.50345444970272e-07 0 0
k127_85122085_2 1077 1.09650461376246e-07 0 0 0 0 0 0 0 0 0 0
k127_6589435_8 861 0 0 0 2.37080902774273e-07 2.05987019590636e-07 5.75517331570153e-07 0 0 0 0 0
k127_72031371_1 1536 0 0 0 9.82192311493418e-07 4.25019883755345e-05 6.71436886831845e-05 2.79608850611564e-05 1.03297416070194e-05 9.52187818145056e-07 5.32745927810458e-05 0
k127_46876_2 933 0 0 0 0 1.78865395344535e-05 6.10048371464362e-06 2.67355076281973e-06 7.86528548757822e-07 7.5172722485136e-08 3.80532805578899e-06 0
k127_46909_1 429 0 0 0 2.03212202377949e-07 1.10546367180308e-05 2.45554061469932e-06 1.03971418554101e-06 1.57305709751564e-07 1.75403019131984e-07 3.29109453473642e-06 0
k127_46909_2 933 0 0 0 1.35474801585299e-07 4.7720326205164e-06 3.26126487889753e-06 9.65448886573792e-07 3.67046656086984e-07 1.00230296646848e-07 2.41689754894706e-06 0
k127_124394174_6 1308 0 0 0 3.89490054557735e-06 5.83629888840135e-07 6.94457580094651e-06 1.88262532881889e-05 3.14611419503129e-07 1.6788574688347e-06 1.28558380263142e-06 0
k127_78577457_2 705 0 0 0 1.01606101188974e-07 6.86623398635453e-08 1.15103466314031e-07 1.11397948450822e-07 0 3.7586361242568e-07 0 0
k127_235625783_1 4497 1.16960492134663e-06 7.64395251906914e-07 1.92919546870568e-06 2.81787587297422e-05 2.26585721549699e-05 1.42344620008351e-05 1.67468249171069e-05 9.88928561971502e-05 4.64066273474906e-05 7.14784594263067e-06 4.52323329205477e-07
k127_58946552_7 348 0 0 0 0 1.02993509795318e-07 3.83678221046769e-08 0 0 0 0 0
k127_52402957_8 1764 0 0 0 2.43854642853538e-06 5.56164952894717e-06 3.33800052310689e-06 6.72100955653294e-06 6.81658075590113e-07 7.21658135857306e-06 2.87970771789437e-06 0
k127_85127483_2 987 0 1.83454860457659e-07 0 6.77374007926495e-07 6.86623398635453e-08 0 4.08459144319681e-07 1.0487047316771e-07 0 0 1.04382306739725e-07
k127_104763241_2 981 0 0 0 1.35474801585299e-07 1.11576302278261e-05 2.24835437533406e-05 1.42589374017052e-05 3.09367895844743e-06 1.00230296646848e-07 1.88209468705239e-05 0
k127_248709493_3 2979 2.55851076544575e-07 4.28061341067872e-07 7.64398204581497e-07 0 0 0 0 5.24352365838548e-08 0 0 5.56705635945202e-07
k127_45863950_4 3486 0 6.11516201525531e-08 0 0 1.02993509795318e-07 1.53471288418707e-07 2.59928546385252e-07 3.14611419503129e-07 1.10253326311533e-06 6.17080225263079e-07 0
k127_65501870_1 255 1.16960492134663e-06 2.23203413556819e-06 1.16479726412419e-06 2.71965664182488e-05 2.11136695080402e-05 2.41333601038417e-05 4.25540163082141e-05 1.23747158337897e-05 2.00711169035313e-05 1.15188308715775e-05 3.65338073589039e-06
k127_53423_1 3801 0 0 0 5.06675757929018e-05 4.17810338069673e-05 2.57831764543428e-05 4.26654142566649e-05 1.94010375360263e-05 8.69497823411407e-06 1.07474805899986e-05 0
k127_19683934_11 621 0 0 0 2.70949603170598e-07 0 3.83678221046769e-08 0 0 0 0 0
k127_111313317_1 348 0 0 0 1.99825332338316e-06 3.70433323563827e-05 5.96619633727725e-05 2.93719257415334e-05 1.06443530265225e-05 8.51957521498208e-07 5.53829502173614e-05 0
k127_124401024_8 873 0 0 0 0 0 0 1.11397948450822e-07 0 1.50345444970272e-07 0 0
k127_111314330_1 2376 1.0234043061783e-06 6.72667821678084e-07 4.73198888550451e-07 0 0 0 0 0 7.5172722485136e-08 0 4.52323329205477e-07
k127_13141580_1 1218 0 0 0 9.48323611097093e-07 2.48557670306034e-05 7.94213917566811e-06 2.11284775561726e-05 1.0487047316771e-06 1.98706563102376e-05 5.810838787894e-06 0
k127_157125199_8 669 3.65501537920821e-08 0 0 0 0 0 0 0 0 0 0
k127_55784_2 2100 0 0 0 1.02283475196901e-05 1.8126857723976e-05 1.36973124913696e-05 9.08264606369037e-05 1.25844567801252e-06 5.36232087060637e-05 3.95959811210476e-06 0
k127_19687470_18 3144 0 0 0 2.40467772813906e-06 3.46744816310904e-06 1.30450595155901e-06 1.26251008244265e-06 6.29222839006258e-07 1.77908776548155e-06 2.51974425315757e-06 0
k127_58955482_1 312 1.09650461376246e-07 0 0 0 6.86623398635453e-08 0 0 0 5.0115148323424e-08 1.5427005631577e-07 2.08764613479451e-07
k127_13144461_3 519 0 3.05758100762766e-08 0 0 0 0 0 0 0 0 0
k127_130948233_2 1434 3.28951384128739e-07 0 0 0 0 0 0 0 0 0 0
k127_72042953_3 1443 0 0 0 0 0 0 0 0 0 0 0
k127_58956687_2 2235 7.67553229633724e-07 1.22303240305106e-07 3.27599230534927e-07 1.69343501981624e-07 0 0 3.71326494836074e-08 2.51689135602503e-06 0 1.02846704210513e-07 7.30676147178078e-07
k127_6601311_1 1575 1.46200615168328e-07 9.17274302288297e-07 1.45599658015523e-07 0 0 0 0 0 0 0 2.08764613479451e-07
k127_111319581_2 393 0 0 0 8.53491249987384e-06 5.52731835901539e-06 1.45030367555679e-05 1.63754984222709e-05 6.76414551931727e-06 1.0699584167051e-05 5.29660526684143e-06 0
k127_111319581_4 315 0 0 0 1.70698249997477e-05 1.34578186132549e-05 3.33032695868595e-05 3.86179554629517e-05 1.47343014800632e-05 2.27522773388345e-05 1.24958745615774e-05 0
k127_6601455_1 4329 0 5.50364581372978e-07 7.27998290077616e-08 1.01606101188974e-05 4.84069496037994e-06 0 0 6.81658075590113e-07 7.5172722485136e-08 0 0
k127_104774034_1 1224 7.31003075841642e-08 6.11516201525531e-08 1.45599658015523e-07 2.06599072417581e-06 6.24827292758262e-06 6.17721935885297e-06 4.08459144319681e-07 4.24725416329224e-06 5.6379541863852e-06 1.02846704210513e-06 1.39176408986301e-07
k127_104774034_2 1335 7.31003075841642e-08 2.14030670533936e-07 1.09199743511642e-07 1.04992971228607e-06 3.50177933304081e-06 4.91108122939864e-06 7.0552034018854e-07 2.35958564627347e-06 4.66070879407843e-06 1.13131374631565e-06 1.39176408986301e-07
k127_98227194_2 5058 0 0 0 2.30307162695008e-06 0 0 0 0 0 0 0
k127_6603558_1 516 0 0 0 2.03212202377949e-07 1.21532341558475e-05 1.73422555913139e-05 8.80043792761495e-06 3.46072561453442e-06 1.2528787080856e-07 1.55298523357875e-05 0
k127_6603558_2 1350 0 0 0 3.72555704359572e-07 4.29482935846476e-05 6.69902173947658e-05 3.47190272671729e-05 1.13784463386965e-05 8.51957521498208e-07 5.21432790347302e-05 0
k127_6603558_3 1272 0 0 0 2.70949603170598e-07 2.92844879518021e-05 5.17965598413138e-05 2.24652529375825e-05 8.65181403633605e-06 3.50806038263968e-07 3.83618206705214e-05 0
k127_6603558_5 1443 0 0 0 8.12848809511794e-07 4.4699183251168e-05 7.76948397619706e-05 4.30738734009846e-05 1.31612443825476e-05 7.5172722485136e-07 6.4536306892097e-05 0
k127_6603558_6 1137 0 0 0 4.74161805548547e-07 3.37132088730007e-05 5.62855950275609e-05 2.78494871127055e-05 9.17616640217459e-06 6.51496928204512e-07 4.58696300778889e-05 0
k127_6603558_7 2265 0 0 0 7.1124270832282e-07 6.90399827327948e-05 0.000109309925176224 5.52905150810914e-05 1.88766851701877e-05 1.22782113392389e-06 9.90413761547242e-05 0
k127_6603558_8 1383 0 0 0 5.75767906737521e-07 2.94904749713927e-05 4.27801216467147e-05 2.5250201648853e-05 7.34093312173968e-06 4.76093909072528e-07 4.14472217968368e-05 0
k127_6603558_10 1365 0 0 0 6.77374007926495e-07 4.11974039181272e-05 6.83714589905342e-05 3.77267718753451e-05 1.32136796191314e-05 8.7701509565992e-07 5.409736641473e-05 0
k127_78590913_1 9750 6.76177845153519e-06 8.8669849221202e-06 9.46397777100901e-06 0 0 0 0 0 0 0 5.4626740527123e-06
k127_13148776_1 552 0 0 0 1.18540451387137e-06 2.91814944420067e-05 4.13988800509463e-05 2.39876915664104e-05 8.33720261683292e-06 6.01381779881088e-07 3.73333536284163e-05 1.39176408986301e-07
k127_104777795_1 867 0 0 0 3.72555704359572e-07 2.55767215991706e-05 3.80608795278394e-05 1.49644577418938e-05 5.82031126080789e-06 4.00921186587392e-07 2.64830263342072e-05 0
k127_104777795_2 558 0 0 0 8.46717509908119e-07 2.95591373112562e-05 4.56193404824608e-05 2.48046098550497e-05 5.97761697055945e-06 5.0115148323424e-07 3.80532805578899e-05 0
k127_222560967_1 1197 0 0 0 0 0 0 0 0 0 0 0
k127_209475520_2 2094 0 2.75182290686489e-07 7.27998290077616e-08 2.70949603170598e-07 0 0 0 2.41202088285732e-06 0 0 1.04382306739725e-07
k127_255243849_6 957 7.31003075841642e-08 0 0 1.35474801585299e-07 0 3.83678221046769e-08 0 0 7.5172722485136e-08 0 0
k127_52416271_5 2877 0 0 0 7.55272018838042e-06 3.43311699317726e-08 7.67356442093537e-08 2.22795896901644e-07 3.46072561453442e-06 1.4533393013793e-06 1.33700715473667e-06 0
k127_19693854_15 3078 0 0 0 1.76117242060889e-06 8.4111366332843e-06 3.83678221046769e-07 1.85663247418037e-07 6.65927504614956e-06 3.70852097593338e-06 5.14233521052566e-08 0
k127_19693854_35 882 0 0 0 4.06424404755897e-07 2.67783125467827e-06 7.67356442093537e-08 0 1.52062186093179e-06 1.0524181147919e-06 0 0
k127_235646959_1 2235 0 0 3.63999145038808e-08 0 0 0 0 0 0 0 6.95882044931503e-08
k127_19694405_2 2514 7.31003075841642e-08 0 0 0 0 0 0 0 0 0 0
k127_235647568_1 963 6.57902768257478e-07 6.42092011601808e-07 1.7107959816824e-06 0 0 0 0 0 0 0 0
k127_58962269_2 3345 0 0 0 2.37080902774273e-07 1.71655849658863e-05 1.80712442113028e-05 1.30706926182298e-05 2.88393801211202e-06 1.00230296646848e-07 2.19063479968393e-05 0
