contig length Sample490 Sample491 Sample492 Sample493 Sample494 Sample495 Sample496 Sample497 Sample498 Sample499 Sample49 Sample500 Sample501 Sample502 Sample503 Sample504 Sample505 Sample507 Sample508 Sample509 Sample50
k127_39271526_3 522 1.82711825545917e-05 1.73001019108557e-05 1.97506662288779e-05 1.50810724469231e-05 1.98421366724594e-05 1.54175824605002e-05 1.87590805952336e-05 2.20508467139373e-05 1.66899585039883e-05 1.6388724210165e-05 5.7993151295218e-06 1.85449230139469e-05 1.13655499777031e-05 1.60285027830901e-05 1.35157984677577e-05 1.42113538950065e-05 1.12895813671436e-05 1.08262231526521e-05 8.15286474375671e-06 2.02738583571494e-05 6.74275013501664e-06
k127_85075871_1 1329 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_58903836_3 1026 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_170141733_1 1068 1.15494200724347e-07 6.79768247970756e-07 2.76381766389035e-07 6.06884203095498e-08 8.89781913563204e-08 3.06715831442311e-07 3.25987182539605e-07 2.23992799577241e-07 6.57084980471982e-08 3.03120669731782e-07 0 1.22095323427595e-07 4.58288305552545e-08 4.61251878650074e-08 1.59009393738325e-07 5.93972995611728e-07 9.48704316566692e-08 1.17251514288651e-07 1.00240140292091e-07 2.55983060065017e-08 0
k127_143968722_16 3264 0 0 2.12601358760796e-08 0 0 0 5.92703968253827e-08 0 0 0 0 0 0 0 0 0 0 1.95419190481084e-08 0 2.55983060065017e-08 0
k127_12392_3 1131 6.92965204346084e-08 6.79768247970756e-08 0 0 0 2.04477220961541e-08 0 0 0 0 0 0 0 0 0 6.59969995124142e-08 0 0 0 5.11966120130034e-08 0
k127_32728718_1 828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_58906999_17 2562 0 0 0 0 0 4.08954441923081e-08 2.96351984126914e-08 0 0 2.02080446487855e-08 0 0 0 2.30625939325037e-08 0 0 0 0 0 0 0
k127_58906999_19 1137 2.30988401448695e-08 0 4.25202717521592e-08 6.06884203095498e-08 5.93187942375469e-08 0 0 4.97761776838313e-08 0 4.0416089297571e-08 0 0 0 0 0 0 2.37176079141673e-08 0 0 0 0
k127_78538491_1 780 6.92965204346084e-08 0 0 1.213768406191e-07 2.07615779831414e-07 0 0 2.48880888419157e-08 0 2.02080446487855e-08 0 1.08529176380084e-07 0 1.84500751460029e-07 3.97523484345813e-08 0 9.48704316566692e-08 3.90838380962169e-08 1.67066900486818e-08 0 0
k127_242117124_6 1731 4.61976802897389e-08 1.69942061992689e-07 0 6.06884203095498e-08 5.93187942375469e-08 4.08954441923081e-08 5.92703968253827e-08 1.99104710735325e-07 1.31416996094396e-07 6.06241339463565e-08 0 4.06984411425317e-08 2.29144152776273e-08 0 5.36656703866848e-07 2.96986497805864e-06 0 7.81676761924337e-08 6.68267601947272e-08 5.11966120130034e-08 0
k127_39276681_1 2283 9.23953605794778e-08 0 0 0 0 0 0 0 0 0 7.1596483080516e-08 0 0 0 3.97523484345813e-08 0 0 0 0 0 1.84732880411415e-07
k127_6557649_5 2478 6.92965204346084e-08 0 8.50405435043184e-08 0 2.96593971187735e-08 0 0 9.95523553676627e-08 8.76113307295976e-08 0 7.1596483080516e-08 0 0 0 0 0 4.74352158283346e-08 0 0 0 0
k127_45823641_2 678 2.54087241593564e-07 0 3.61422309893353e-07 4.24818942166848e-07 1.77956382712641e-07 3.06715831442311e-07 1.48175992063457e-07 4.97761776838313e-08 2.40931159506393e-07 2.02080446487855e-07 0 2.71322940950211e-08 1.83315322221018e-07 3.69001502920059e-07 1.59009393738325e-07 3.07985997724599e-07 4.74352158283346e-07 1.36793433336759e-07 4.00960561168363e-07 5.11966120130034e-08 3.07888134019025e-07
k127_91629259_1 1221 4.61976802897389e-08 1.69942061992689e-07 2.12601358760796e-08 9.10326304643247e-08 5.93187942375469e-08 2.04477220961541e-08 0 0 6.57084980471982e-08 2.02080446487855e-08 1.43192966161032e-07 0 2.29144152776273e-08 6.9187781797511e-08 1.98761742172907e-08 0 0 0 0 1.02393224026007e-07 3.07888134019025e-07
k127_85085139_1 1614 3.23383762028172e-07 0 1.27560815256478e-07 0 2.07615779831414e-07 4.08954441923081e-08 0 3.98209421470651e-07 8.76113307295976e-08 4.84993071570852e-07 7.1596483080516e-08 0 9.16576611105091e-08 0 2.18637916390197e-07 4.39979996749428e-08 1.42305647485004e-07 0 0 1.79188142045512e-07 1.53944067009512e-07
k127_26190918_1 984 4.61976802897389e-08 0 8.71665570919264e-07 6.06884203095498e-08 1.48296985593867e-07 1.43134054673078e-07 4.14892777777679e-07 3.98209421470651e-07 4.38056653647988e-08 2.02080446487855e-08 0 2.71322940950211e-08 3.43716229164409e-07 1.15312969662518e-07 1.98761742172907e-08 0 9.48704316566692e-07 3.90838380962169e-07 3.34133800973636e-08 1.02393224026007e-07 0
k127_19648195_1 1473 2.1943898137626e-06 1.49549014553566e-06 4.78353057211791e-06 2.91304417485839e-06 2.43207056373942e-06 3.0262628702308e-06 3.7636701984118e-06 2.61324932840114e-06 2.19028326823994e-06 6.2644938411235e-07 6.80166589264902e-06 1.09885791084836e-06 7.33261288884073e-07 2.74444867796794e-06 8.9442783977808e-07 2.04590698488484e-06 3.7710996583526e-06 1.11388938574218e-06 8.68747882531453e-07 2.63662551866968e-06 2.70941557936742e-06
k127_91631989_1 1536 4.61976802897389e-07 1.97132791911519e-06 1.80711154946677e-06 5.46195782785948e-07 4.15231559662828e-07 8.17908883846163e-08 1.48175992063457e-07 4.72873687996398e-07 6.57084980471982e-07 0 9.30754280046708e-07 0 1.05406310277085e-06 2.5368853325754e-07 1.98761742172907e-08 1.31993999024828e-07 2.84611294970008e-07 7.23051004780012e-07 2.8401373082759e-07 1.5358983603901e-07 3.07888134019025e-08
k127_32734118_2 1488 2.54087241593564e-07 8.49710309963445e-07 2.76381766389035e-07 9.10326304643247e-08 2.96593971187735e-08 2.45372665153849e-07 0 0 0 0 0 0 0 2.30625939325037e-08 3.97523484345813e-08 1.75991998699771e-07 3.5576411871251e-07 3.90838380962169e-08 0 5.11966120130034e-08 0
k127_32735449_1 858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_45829200_3 462 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_85090116_1 1656 7.16064044490953e-07 2.71907299188302e-07 1.19056760906046e-06 1.12273577572667e-06 6.22847339494243e-07 8.17908883846163e-07 1.18540793650765e-06 8.95971198308964e-07 1.73032378190955e-06 1.01040223243927e-06 4.29578898483096e-07 1.30235011656101e-06 7.79090119439327e-07 2.35238458111537e-06 1.64972246003513e-06 8.57960993661384e-07 5.69222589940015e-07 2.05190150005139e-06 1.75420245511159e-06 1.25431699431858e-06 3.38676947420927e-07
k127_19651703_2 1269 1.38593040869217e-07 2.03930474391227e-07 6.37804076282388e-08 1.213768406191e-07 3.26253368306508e-07 4.08954441923081e-08 5.92703968253827e-08 0 0 0 0 0 0 0 0 2.19989998374714e-08 4.74352158283346e-08 0 0 0 0
k127_58915879_2 1770 0 2.71907299188302e-07 2.12601358760796e-08 3.03442101547749e-08 0 1.0223861048077e-07 0 0 0 0 0 5.42645881900422e-08 0 0 0 0 0 0 0 1.5358983603901e-07 0
k127_235586593_1 2457 2.30988401448695e-08 2.37918886789765e-07 1.06300679380398e-07 0 0 2.04477220961541e-07 0 2.48880888419157e-08 1.53319828776796e-07 2.62704580434211e-07 1.18134197082851e-06 0 1.60400906943391e-07 1.84500751460029e-07 3.97523484345813e-08 2.19989998374714e-08 9.48704316566692e-08 0 5.01200701460454e-08 5.11966120130034e-08 7.08142708243757e-07
k127_22422_1 1215 6.92965204346084e-07 8.49710309963445e-07 1.84963182121893e-06 1.15307998588145e-06 6.52506736613016e-07 1.81984726655771e-06 1.86701749999956e-06 1.7421662189341e-06 4.81862319012787e-07 1.21248267892713e-06 1.43192966161032e-07 5.15513587805401e-07 4.58288305552545e-08 9.45566351232651e-07 1.11306575616828e-06 2.33189398277197e-06 1.68395016190588e-06 4.29922219058386e-07 5.84734151703863e-07 5.11966120130034e-07 1.84732880411415e-07
k127_45832132_2 2313 4.61976802897389e-08 2.03930474391227e-07 1.91341222884716e-07 1.51721050773874e-07 8.89781913563204e-08 2.45372665153849e-07 1.18540793650765e-07 4.97761776838313e-08 6.57084980471982e-08 1.41456312541498e-07 4.29578898483096e-07 1.35661470475106e-08 4.58288305552545e-08 2.30625939325037e-07 9.93808710864533e-08 1.09994999187357e-07 7.11528237425019e-08 1.36793433336759e-07 8.3533450243409e-08 5.11966120130034e-08 2.4631050721522e-07
k127_26196952_1 3402 0 1.35953649594151e-07 0 0 5.93187942375469e-08 4.08954441923081e-08 0 0 0 0 0 0 0 0 0 0 4.74352158283346e-08 0 0 0 0
k127_39285786_5 402 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_215961743_1 3060 4.1577912260765e-07 1.01965237195613e-07 1.06300679380398e-07 1.82065260928649e-07 2.66934574068961e-07 4.90745330307698e-07 2.96351984126914e-07 9.70635464834711e-07 6.35182147789583e-07 1.61664357190284e-07 2.86385932322064e-07 1.62793764570127e-07 8.02004534716955e-07 9.22503757300147e-08 1.59009393738325e-07 3.73982997237014e-07 1.18588039570837e-07 2.5404494762541e-07 4.6778732136309e-07 1.12632546428608e-06 6.1577626803805e-08
k127_117817735_1 636 0 0 0 0 0 2.04477220961541e-08 0 0 0 0 0 5.42645881900422e-08 0 0 3.97523484345813e-08 0 0 0 0 0 0
k127_26199975_3 747 2.30988401448695e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.37176079141673e-08 0 0 0 0
k127_19656628_1 3474 3.81130862390346e-06 6.21987946893242e-06 1.06300679380398e-06 4.24818942166849e-06 2.37275176950188e-06 4.15088758551927e-06 2.60789746031684e-06 2.26481608461433e-06 6.11089031838943e-06 3.41515954564475e-06 1.06678759789969e-05 1.35661470475106e-08 5.27031551385427e-06 4.75089435009576e-06 2.74291204198611e-06 5.23576196131819e-06 9.48704316566692e-08 9.77095952405422e-07 7.01680982044635e-07 5.37564426136536e-07 3.60844893070297e-05
k127_26723_2 1638 3.23383762028172e-07 5.77803010775142e-07 4.46462853397672e-07 6.06884203095498e-08 1.27535407610726e-06 2.24924943057695e-07 3.25987182539605e-07 0 6.57084980471982e-08 0 0 6.78307352375528e-08 9.16576611105091e-08 1.15312969662518e-07 1.19257045303744e-07 2.19989998374714e-07 4.74352158283346e-07 3.90838380962169e-08 0 4.35171202110529e-07 0
k127_26723_3 837 6.92965204346084e-08 6.79768247970756e-08 0 6.06884203095498e-08 1.48296985593867e-07 8.17908883846163e-08 0 0 4.38056653647988e-08 0 0 0 0 0 1.98761742172907e-08 0 9.48704316566692e-08 1.95419190481084e-08 0 2.55983060065017e-08 0
k127_6570694_9 20166 0 3.39884123985378e-08 0 3.03442101547749e-08 0 8.17908883846163e-08 0 0 0 4.0416089297571e-08 3.5798241540258e-08 3.25587529140253e-07 4.58288305552545e-08 0 7.95046968691627e-08 4.39979996749428e-08 0 0 0 1.5358983603901e-07 6.1577626803805e-08
k127_72012641_5 1275 4.85075643042259e-07 1.69942061992689e-07 2.12601358760796e-07 0 8.89781913563204e-08 1.84029498865387e-07 0 0 4.38056653647988e-08 0 0 0 0 9.22503757300147e-08 0 1.09994999187357e-07 1.66023255399171e-07 0 3.34133800973636e-08 1.02393224026007e-07 0
k127_72012641_6 1098 4.61976802897389e-08 3.39884123985378e-08 4.25202717521592e-08 6.06884203095498e-08 0 4.08954441923081e-08 0 0 0 0 0 0 0 0 3.97523484345813e-08 6.59969995124142e-08 1.89740863313338e-07 3.90838380962169e-08 0 0 0
k127_58923340_2 948 0 0 0 0 0 4.08954441923081e-08 0 0 0 0 0 0 0 0 0 8.79959993498856e-08 0 0 3.34133800973636e-08 0 3.07888134019025e-08
k127_6571745_1 228 4.61976802897389e-08 6.79768247970756e-08 4.25202717521592e-08 9.10326304643247e-08 5.93187942375469e-08 1.0223861048077e-07 2.96351984126914e-08 4.97761776838313e-08 2.19028326823994e-08 0 6.80166589264902e-07 1.35661470475106e-08 0 2.30625939325037e-08 1.98761742172907e-08 0 9.48704316566692e-08 1.95419190481084e-08 0 0 3.07888134019025e-08
k127_6571745_26 2067 0 6.1179142317368e-07 3.61422309893353e-07 3.03442101547749e-08 2.07615779831414e-07 7.36117995461546e-07 3.25987182539605e-07 3.23545154944904e-07 2.62833992188793e-07 6.06241339463565e-08 3.83041184480761e-06 8.13968822850634e-08 0 2.30625939325037e-08 1.98761742172907e-07 1.31993999024828e-07 2.37176079141673e-07 3.32212623817843e-07 8.3533450243409e-08 1.79188142045512e-07 9.23664402057074e-08
k127_91647450_3 2019 2.30988401448695e-08 1.01965237195613e-07 3.82682445769433e-07 2.42753681238199e-07 0 6.13431662884622e-08 1.77811190476148e-07 2.48880888419157e-07 2.19028326823994e-07 1.07102636638563e-06 0 2.3062449980768e-07 4.58288305552545e-08 2.07563345392533e-07 2.18637916390197e-07 2.19989998374714e-08 9.48704316566692e-08 1.48518584765624e-06 0 2.04786448052014e-07 6.1577626803805e-08
k127_72015476_1 1284 2.30988401448695e-08 0 4.25202717521592e-08 0 5.93187942375469e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_45840864_3 2073 0 0 0 0 0 2.04477220961541e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 2.55983060065017e-08 0
k127_229056851_37 1878 2.30988401448695e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_30843_1 4083 6.92965204346084e-08 3.39884123985378e-07 4.25202717521592e-08 0 0 4.08954441923081e-08 1.18540793650765e-07 0 6.57084980471982e-08 0 0 0 0 0 0 0 0 0 0 0 0
k127_52384049_2 1071 1.38593040869217e-07 1.69942061992689e-07 2.12601358760796e-08 0 0 0 0 4.97761776838313e-08 0 0 0 0 0 0 3.97523484345813e-08 0 9.48704316566692e-08 0 0 0 0
k127_52384049_3 1107 6.92965204346084e-08 2.03930474391227e-07 1.06300679380398e-07 6.06884203095498e-08 8.89781913563204e-08 0 2.96351984126914e-08 0 0 0 0 0 4.58288305552545e-08 0 1.98761742172907e-07 2.19989998374714e-07 1.66023255399171e-07 3.90838380962169e-08 0 0 0
k127_52384049_4 1884 4.3887796275252e-07 9.51675547159058e-07 2.76381766389035e-07 2.12409471083424e-07 1.77956382712641e-07 2.24924943057695e-07 8.89055952380741e-08 2.48880888419157e-08 0 8.0832178595142e-08 0 0 0 0 1.78885567955616e-07 4.39979996749428e-07 5.92940197854183e-07 3.90838380962169e-08 0 1.02393224026007e-07 0
k127_52384049_5 1200 1.15494200724347e-07 1.69942061992689e-07 1.06300679380398e-07 6.06884203095498e-08 5.93187942375469e-08 2.04477220961541e-08 0 0 0 0 0 2.71322940950211e-08 0 0 3.97523484345813e-08 1.31993999024828e-07 2.6089368705584e-07 3.90838380962169e-08 0 2.55983060065017e-08 0
k127_32749461_4 1944 0 0 0 0 0 0 0 0 0 0 0 5.42645881900422e-08 0 0 0 0 0 0 0 0 0
k127_117831689_4 1548 6.69866364201214e-06 1.70281946116674e-05 6.39930089869996e-06 1.03170314526235e-05 3.796402831203e-06 5.13237824613467e-06 6.43083805555402e-06 8.71083109467048e-06 1.67994726674003e-05 1.52974897991306e-05 3.22184173862322e-06 4.82954834891376e-06 6.37020744718038e-06 2.41926610351964e-05 1.38338172552343e-05 1.29794099041081e-05 2.01599667270422e-06 4.69006057154602e-06 8.08603798356199e-06 3.83974590097526e-06 3.54071354121879e-06
k127_52385843_1 1188 4.61976802897389e-08 3.39884123985378e-07 2.12601358760796e-07 5.15851572631173e-07 2.37275176950188e-07 2.65820387250003e-07 2.96351984126914e-08 2.23992799577241e-07 2.40931159506393e-07 1.41456312541498e-07 1.14554372928826e-06 0 2.29144152776273e-07 1.84500751460029e-07 1.98761742172907e-08 8.79959993498856e-08 0 3.90838380962169e-08 1.33653520389454e-07 0 1.53944067009512e-06
k127_45845232_4 450 0 0 0 9.10326304643247e-08 0 4.08954441923081e-08 0 0 2.19028326823994e-08 1.21248267892713e-07 0 0 0 0 0 0 0 0 0 0 0
k127_19665551_15 1176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_85109797_1 1707 5.54372163476867e-07 1.15560602155028e-06 4.67722989273751e-07 9.10326304643247e-08 4.44890956781602e-07 2.24924943057695e-07 5.92703968253827e-08 0 6.57084980471982e-08 4.0416089297571e-08 0 4.06984411425317e-08 9.16576611105091e-08 0 1.39133219521035e-07 2.41988998212185e-07 5.92940197854183e-07 0 3.34133800973636e-08 7.67949180195051e-08 0
k127_111292264_1 1263 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_78563592_4 2349 0 0 1.27560815256478e-07 1.213768406191e-07 0 6.13431662884622e-08 5.92703968253827e-08 0 0 0 0 0 4.58288305552545e-08 0 3.97523484345813e-08 0 0 0 0 5.11966120130034e-08 0
k127_72020435_3 816 0 0 0 0 0 0 0 1.99104710735325e-07 0 0 0 0 0 0 7.95046968691627e-08 0 4.74352158283346e-08 0 0 0 0
k127_13122755_10 2487 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_32753498_3 2400 5.89020423694171e-06 1.97132791911519e-06 1.29261626126564e-05 6.2812515020384e-06 6.46574857189261e-06 9.11968405488471e-06 1.5943736746028e-05 1.00547878921339e-05 5.45380533791745e-06 2.5057975364494e-06 6.55107820186722e-06 2.53686949788447e-06 1.21446400971425e-06 3.43632649594305e-06 3.14043552633193e-06 5.78573695725498e-06 1.70292424823721e-05 3.86929997152547e-06 2.7566038580325e-06 8.08906469805454e-06 1.2007637226742e-06
k127_104747641_1 1152 3.46482602173042e-06 2.24323521830349e-06 2.33861494636876e-06 2.33650418191767e-06 1.66092623865131e-06 2.51506981782695e-06 2.16336948412647e-06 1.81683048545984e-06 2.73785408529992e-06 2.3643412239079e-06 1.89730680163367e-06 9.49630293325739e-07 2.38309918887324e-06 2.83669905369795e-06 1.01368488508182e-06 1.8479159863476e-06 9.01269100738358e-07 1.52426968575246e-06 1.92126935559841e-06 1.61269327840961e-06 1.50865185669322e-06
k127_202900942_27 1581 0 0 0 0 2.96593971187735e-08 2.04477220961541e-08 0 0 0 6.06241339463565e-08 0 9.49630293325739e-08 0 0 0 0 4.74352158283346e-08 0 0 0 0
k127_6582327_1 1875 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_248698167_1 1053 3.46482602173042e-07 5.43814598376605e-07 4.25202717521592e-07 4.24818942166848e-07 5.33869148137922e-07 4.49849886115389e-07 8.00150357142667e-07 2.73768977261072e-07 4.81862319012787e-07 3.43536759029353e-07 0 5.42645881900422e-08 1.60400906943391e-07 7.61065599772621e-07 4.17399658563104e-07 4.17980996911956e-07 4.74352158283346e-07 1.36793433336759e-07 5.01200701460454e-08 6.91154262175546e-07 0
k127_39305090_4 621 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_19671359_2 3237 1.15494200724347e-06 5.43814598376605e-07 1.50946964720165e-06 1.15307998588145e-06 5.04209751019149e-07 9.20147494326933e-07 8.89055952380741e-07 1.46839724167302e-06 1.22655863021437e-06 5.25409160868423e-07 1.7899120770129e-07 2.38764188036186e-06 1.19154959443662e-06 2.42157236291289e-06 1.72922715690429e-06 1.51793098878553e-06 1.25703321945087e-06 1.95419190481084e-07 1.36994858399191e-06 1.99666786850713e-06 5.23409827832342e-07
k127_26216389_11 1710 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_124386169_1 813 2.54087241593564e-06 2.03930474391227e-05 0.000110786568050251 3.63523637654203e-05 1.31391129236166e-05 4.12021600237504e-05 3.14133103174528e-06 1.20707230883291e-05 1.69308896634947e-05 8.37219289799183e-05 1.18134197082851e-06 0.000114633942551464 0.000290623528966147 1.54519379347775e-06 0.000217306212717639 7.4576609449028e-05 0.00050886127779846 0.000363127939751951 0.000427123237784599 1.04441088506527e-05 4.03333455564923e-06
k127_13128140_1 756 2.77186081738434e-07 1.69942061992689e-07 8.50405435043184e-08 3.03442101547749e-08 1.48296985593867e-07 6.13431662884622e-08 0 9.95523553676627e-08 6.57084980471982e-08 4.0416089297571e-08 1.07394724620774e-07 1.49227617522616e-07 1.60400906943391e-07 2.30625939325037e-08 1.98761742172907e-08 2.19989998374714e-08 7.11528237425019e-08 9.77095952405422e-08 1.33653520389454e-07 1.02393224026007e-07 0
k127_104752561_1 399 0 0 0 0 0 0 0 0 0 0 0 5.42645881900422e-08 0 0 0 0 4.74352158283346e-08 0 0 0 0
k127_104752561_2 714 4.61976802897389e-08 0 2.12601358760796e-08 0 1.18637588475094e-07 0 0 0 6.57084980471982e-08 0 0 2.71322940950211e-08 0 0 0 0 0 0 0 0 0
k127_85117070_20 507 6.92965204346084e-08 0 1.70081087008637e-07 0 0 2.04477220961541e-08 0 0 0 0 0 0 0 0 5.9628522651872e-08 0 2.37176079141673e-08 0 0 0 0
k127_85117070_21 1866 4.1577912260765e-07 2.37918886789765e-07 2.55121630512955e-07 1.82065260928649e-07 0 4.08954441923081e-08 0 2.48880888419157e-08 0 0 0 0 0 0 1.59009393738325e-07 6.59969995124142e-08 4.03199334540844e-07 1.95419190481084e-08 0 7.67949180195051e-08 0
k127_85117070_24 1095 3.23383762028172e-07 3.0589571158684e-07 1.91341222884716e-07 9.10326304643247e-08 2.96593971187735e-07 4.08954441923081e-08 0 0 0 0 0 0 0 0 5.9628522651872e-08 1.09994999187357e-07 2.6089368705584e-07 3.90838380962169e-08 0 0 0
k127_98207950_2 483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.37176079141673e-08 0 3.34133800973636e-08 0 0
k127_98207950_3 1005 2.30988401448695e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.19989998374714e-08 2.37176079141673e-08 0 0 0 0
k127_104753324_6 1653 8.5465708536017e-07 3.29687600265817e-06 7.01584483910627e-07 1.75996418897694e-06 1.60160744441377e-06 9.81490660615395e-07 2.78570865079299e-06 2.98657066102988e-07 1.31416996094396e-06 1.49539530401013e-06 4.65377140023354e-07 4.34116705520338e-07 2.520585680539e-07 1.84500751460029e-07 1.29195132412389e-06 8.57960993661384e-07 9.48704316566692e-08 2.93128785721627e-07 8.85454572580135e-07 2.04786448052014e-07 2.4631050721522e-07
k127_72027223_2 1137 1.61691881014086e-07 2.71907299188302e-07 1.91341222884716e-07 6.06884203095498e-08 0 1.0223861048077e-07 5.92703968253827e-08 0 0 2.02080446487855e-08 0 0 0 0 3.97523484345813e-08 8.79959993498856e-08 1.42305647485004e-07 0 0 0 0
k127_52395880_8 3843 1.38593040869217e-07 1.35953649594151e-07 2.12601358760796e-07 1.51721050773874e-07 1.77956382712641e-07 1.63581776769233e-07 5.92703968253827e-08 0 0 0 0 0 2.29144152776273e-08 0 1.39133219521035e-07 6.59969995124142e-08 1.42305647485004e-07 0 3.34133800973636e-08 2.04786448052014e-07 0
k127_111300445_3 177 0 3.39884123985378e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_124387813_1 1599 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_235617893_1 924 0 6.79768247970756e-08 0 0 5.93187942375469e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_170194635_2 753 6.92965204346084e-08 3.39884123985378e-08 0 3.03442101547749e-08 0 0 5.92703968253827e-08 4.97761776838313e-08 1.75222661459195e-07 6.06241339463565e-08 0 2.71322940950211e-08 0 2.30625939325037e-08 0 0 1.18588039570837e-07 0 0 2.55983060065017e-08 2.15521693813317e-07
k127_26218748_2 663 0 0 0 0 1.18637588475094e-07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_255227151_2 3228 1.38593040869217e-07 0 0 0 0 1.84029498865387e-07 1.18540793650765e-07 0 3.5044532291839e-07 0 0 0 2.29144152776273e-08 4.61251878650074e-08 0 0 0 0 6.68267601947272e-08 2.81581366071519e-07 0
